SITE_ID,SITE_NAME,URL,2015_DATA_TIER,2015_DATA_START,2015_DATA_END,Latitude,Longitude,Elevation,IGBP,MAT,MAP
GF-Guy,Guyaflux (French Guiana),http://sites.fluxdata.org/GF-Guy/,"Tier1,",Tier1: 2004,Tier1: 2014,5.2788,-52.9249,48,EBF,25.7,3041
,,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
GH-Ank,Ankasa,http://sites.fluxdata.org/GH-Ank/,Tier2,Tier2: 2011,Tier2: 2014,5.2685,-2.6942,124,EBF,26,1900
IT-BCi,Borgo Cioffi,http://sites.fluxdata.org/IT-BCi/,"Tier1,",Tier1: 2004,Tier1: 2014,40.5238,14.9574,20,CRO,18,600
,,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
IT-CA1,Castel d'Asso 1,http://sites.fluxdata.org/IT-CA1/,"Tier1,",Tier1: 2011,Tier1: 2014,42.3804,12.0266,200,DBF,14,766
,,,Tier2,Tier2: 2011,Tier2: 2014,,,,,,
IT-CA2,Castel d'Asso 2,http://sites.fluxdata.org/IT-CA2/,"Tier1,",Tier1: 2011,Tier1: 2014,42.3772,12.026,200,CRO,14,766
,,,Tier2,Tier2: 2011,Tier2: 2014,,,,,,
IT-CA3,Castel d'Asso 3,http://sites.fluxdata.org/IT-CA3/,"Tier1,",Tier1: 2011,Tier1: 2014,42.38,12.0222,197,DBF,14,766
,,,Tier2,Tier2: 2011,Tier2: 2014,,,,,,
IT-Col,Collelongo,http://sites.fluxdata.org/IT-Col/,"Tier1,",Tier1: 1996,Tier1: 2014,41.8494,13.5881,1560,DBF,6.3,1180
,,,Tier2,Tier2: 1996,Tier2: 2014,,,,,,
IT-Cp2,Castelporziano 2,http://sites.fluxdata.org/IT-Cp2/,"Tier1,",Tier1: 2012,Tier1: 2014,41.7043,12.3573,19,EBF,15.2,805
,,,Tier2,Tier2: 2012,Tier2: 2014,,,,,,
IT-Cpz,Castelporziano,http://sites.fluxdata.org/IT-Cpz/,"Tier1,",Tier1: 1997,Tier1: 2009,41.7052,12.3761,68,EBF,15.6,780
,,,Tier2,Tier2: 1997,Tier2: 2009,,,,,,
IT-Isp,Ispra ABC-IS,http://sites.fluxdata.org/IT-Isp/,"Tier1,",Tier1: 2013,Tier1: 2014,45.8126,8.6336,210,DBF,12.2,1300
,,,Tier2,Tier2: 2013,Tier2: 2014,,,,,,
IT-La2,Lavarone2,http://sites.fluxdata.org/IT-La2/,"Tier1,",Tier1: 2000,Tier1: 2002,45.9542,11.2853,1350,ENF,7.2,1150
,,,Tier2,Tier2: 2000,Tier2: 2002,,,,,,
IT-Lav,Lavarone,http://sites.fluxdata.org/IT-Lav/,"Tier1,",Tier1: 2003,Tier1: 2014,45.9562,11.2813,1353,ENF,7.8,1291
,,,Tier2,Tier2: 2003,Tier2: 2014,,,,,,
IT-MBo,Monte Bondone,http://sites.fluxdata.org/IT-MBo/,"Tier1,",Tier1: 2003,Tier1: 2013,46.0147,11.0458,1550,GRA,5.1,1214
,,,Tier2,Tier2: 2003,Tier2: 2013,,,,,,
IT-Noe,Arca di Noé - Le Prigionette,http://sites.fluxdata.org/IT-Noe/,"Tier1,",Tier1: 2004,Tier1: 2014,40.6061,8.1515,28,CSH,15.9,588
,,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
IT-PT1,Parco Ticino forest,http://sites.fluxdata.org/IT-PT1/,"Tier1,",Tier1: 2002,Tier1: 2004,45.2009,9.061,60,DBF,12.7,984
,,,Tier2,Tier2: 2002,Tier2: 2004,,,,,,
IT-Ren,Renon,http://sites.fluxdata.org/IT-Ren/,"Tier1,",Tier1: 1998,Tier1: 2013,46.5869,11.4337,1730,ENF,4.7,809
,,,Tier2,Tier2: 1998,Tier2: 2013,,,,,,
IT-Ro1,Roccarespampani 1,http://sites.fluxdata.org/IT-Ro1/,"Tier1,",Tier1: 2000,Tier1: 2008,42.4081,11.93,235,DBF,15.15,876
,,,Tier2,Tier2: 2000,Tier2: 2008,,,,,,
IT-Ro2,Roccarespampani 2,http://sites.fluxdata.org/IT-Ro2/,"Tier1,",Tier1: 2002,Tier1: 2012,42.3903,11.9209,160,DBF,15.15,876
,,,Tier2,Tier2: 2002,Tier2: 2012,,,,,,
IT-SR2,San Rossore 2,http://sites.fluxdata.org/IT-SR2/,"Tier1,",Tier1: 2013,Tier1: 2014,43.732,10.291,4,ENF,14.2,920
,,,Tier2,Tier2: 2013,Tier2: 2014,,,,,,
IT-SRo,San Rossore,http://sites.fluxdata.org/IT-SRo/,"Tier1,",Tier1: 1999,Tier1: 2012,43.7279,10.2844,6,ENF,14.2,920
,,,Tier2,Tier2: 1999,Tier2: 2012,,,,,,
IT-Tor,Torgnon,http://sites.fluxdata.org/IT-Tor/,"Tier1,",Tier1: 2008,Tier1: 2014,45.8444,7.5781,2160,GRA,2.9,920
,,,Tier2,Tier2: 2008,Tier2: 2014,,,,,,
JP-MBF,Moshiri Birch Forest Site,http://sites.fluxdata.org/JP-MBF/,"Tier1,",Tier1: 2003,Tier1: 2005,44.3869,142.3186,,DBF,,
,,,Tier2,Tier2: 2003,Tier2: 2005,,,,,,
JP-SMF,Seto Mixed Forest Site,http://sites.fluxdata.org/JP-SMF/,"Tier1,",Tier1: 2002,Tier1: 2006,35.2617,137.0788,,MF,,
,,,Tier2,Tier2: 2002,Tier2: 2006,,,,,,
MY-PSO,Pasoh Forest Reserve (PSO),http://sites.fluxdata.org/MY-PSO/,Tier2,Tier2: 2003,Tier2: 2009,2.973,102.3062,,EBF,,
NL-Hor,Horstermeer,http://sites.fluxdata.org/NL-Hor/,"Tier1,",Tier1: 2004,Tier1: 2011,52.2404,5.0713,2.2,GRA,10,800
,,,Tier2,Tier2: 2004,Tier2: 2011,,,,,,
NL-Loo,Loobos,http://sites.fluxdata.org/NL-Loo/,"Tier1,",Tier1: 1996,Tier1: 2013,52.1666,5.7436,25,ENF,9.8,786
,,,Tier2,Tier2: 1996,Tier2: 2014,,,,,,
NO-Adv,Adventdalen,http://sites.fluxdata.org/NO-Adv/,"Tier1,",Tier1: 2011,Tier1: 2014,78.186,15.923,17,WET,,
,,,Tier2,Tier2: 2011,Tier2: 2014,,,,,,
NO-Blv,"Bayelva, Spitsbergen",http://sites.fluxdata.org/NO-Blv/,"Tier1,",Tier1: 2008,Tier1: 2009,78.9216,11.8311,25,SNO,-4.5,400
,,,Tier2,Tier2: 2008,Tier2: 2009,,,,,,
PA-SPn,Sardinilla Plantation,http://sites.fluxdata.org/PA-SPn/,Tier2,Tier2: 2007,Tier2: 2009,9.3181,-79.6346,78,DBF,26.5,2350
PA-SPs,Sardinilla-Pasture,http://sites.fluxdata.org/PA-SPs/,Tier2,Tier2: 2007,Tier2: 2009,9.3138,-79.6314,68,GRA,26.5,2350
RU-Che,Cherski,http://sites.fluxdata.org/RU-Che/,"Tier1,",Tier1: 2002,Tier1: 2005,68.613,161.3414,6,WET,-11,197
,,,Tier2,Tier2: 2002,Tier2: 2005,,,,,,
RU-Cok,Chokurdakh,http://sites.fluxdata.org/RU-Cok/,"Tier1,",Tier1: 2003,Tier1: 2014,70.8291,147.4943,48,OSH,-14.3,232
,,,Tier2,Tier2: 2003,Tier2: 2014,,,,,,
RU-Fyo,Fyodorovskoye,http://sites.fluxdata.org/RU-Fyo/,"Tier1,",Tier1: 1998,Tier1: 2014,56.4615,32.9221,265,ENF,3.9,711
,,,Tier2,Tier2: 1998,Tier2: 2014,,,,,,
RU-Ha1,Hakasia steppe,http://sites.fluxdata.org/RU-Ha1/,"Tier1,",Tier1: 2002,Tier1: 2004,54.7252,90.0022,446,GRA,,
,,,Tier2,Tier2: 2002,Tier2: 2004,,,,,,
RU-Sam,Samoylov,http://sites.fluxdata.org/RU-Sam/,Tier2,Tier2: 2002,Tier2: 2014,72.3738,126.4958,,GRA,,
RU-SkP,Yakutsk Spasskaya Pad larch,http://sites.fluxdata.org/RU-SkP/,Tier2,Tier2: 2012,Tier2: 2014,62.255,129.168,246,DNF,,
RU-Tks,Tiksi,http://sites.fluxdata.org/RU-Tks/,Tier2,Tier2: 2010,Tier2: 2014,71.5943,128.8878,7,GRA,-12.7,323
RU-Vrk,Seida/Vorkuta,http://sites.fluxdata.org/RU-Vrk/,Tier2,Tier2: 2008,Tier2: 2008,67.0547,62.9405,100,CSH,-5.6,501
SD-Dem,Demokeya,http://sites.fluxdata.org/SD-Dem/,"Tier1,",Tier1: 2005,Tier1: 2009,13.2829,30.4783,500,SAV,26,320
,,,Tier2,Tier2: 2005,Tier2: 2009,,,,,,
SE-St1,Stordalen grassland,http://sites.fluxdata.org/SE-St1/,Tier2,Tier2: 2012,Tier2: 2014,68.3541,19.0503,351,WET,-0.7,303
SN-Dhr,Dahra,http://sites.fluxdata.org/SN-Dhr/,"Tier1,",Tier1: 2010,Tier1: 2013,15.4028,-15.4322,40,SAV,29,404
,,,Tier2,Tier2: 2010,Tier2: 2013,,,,,,
US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,http://sites.fluxdata.org/US-AR1/,"Tier1,",Tier1: 2009,Tier1: 2012,36.4267,-99.42,611,GRA,,
,,,Tier2,Tier2: 2009,Tier2: 2012,,,,,,
US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,http://sites.fluxdata.org/US-AR2/,"Tier1,",Tier1: 2009,Tier1: 2012,36.6358,-99.5975,646,GRA,,
,,,Tier2,Tier2: 2009,Tier2: 2012,,,,,,
US-ARb,ARM Southern Great Plains burn site- Lamont,http://sites.fluxdata.org/US-ARb/,"Tier1,",Tier1: 2005,Tier1: 2006,35.5497,-98.0402,424,GRA,,
,,,Tier2,Tier2: 2005,Tier2: 2006,,,,,,
US-ARc,ARM Southern Great Plains control site- Lamont,http://sites.fluxdata.org/US-ARc/,"Tier1,",Tier1: 2005,Tier1: 2006,35.5465,-98.04,424,GRA,,
,,,Tier2,Tier2: 2005,Tier2: 2006,,,,,,
US-ARM,ARM Southern Great Plains site- Lamont,http://sites.fluxdata.org/US-ARM/,"Tier1,",Tier1: 2003,Tier1: 2012,36.6058,-97.4888,314,CRO,14.76,843
,,,Tier2,Tier2: 2003,Tier2: 2012,,,,,,
US-Atq,Atqasuk,http://sites.fluxdata.org/US-Atq/,Tier2,Tier2: 2003,Tier2: 2008,70.4696,-157.4089,15,WET,-9.7,93
US-Blo,Blodgett Forest,http://sites.fluxdata.org/US-Blo/,"Tier1,",Tier1: 1997,Tier1: 2007,38.8953,-120.6328,1315,ENF,11.09,1226
,,,Tier2,Tier2: 1997,Tier2: 2007,,,,,,
US-Cop,Corral Pocket,http://sites.fluxdata.org/US-Cop/,"Tier1,",Tier1: 2001,Tier1: 2007,38.09,-109.39,1520,GRA,,
,,,Tier2,Tier2: 2001,Tier2: 2007,,,,,,
US-CRT,Curtice Walter-Berger cropland,http://sites.fluxdata.org/US-CRT/,Tier2,Tier2: 2011,Tier2: 2013,41.6285,-83.3471,180,CRO,10.1,849
US-GBT,GLEES Brooklyn Tower,http://sites.fluxdata.org/US-GBT/,"Tier1,",Tier1: 1999,Tier1: 2006,41.3658,-106.2397,3191,ENF,0.8,1200
,,,Tier2,Tier2: 1999,Tier2: 2006,,,,,,
US-GLE,GLEES,http://sites.fluxdata.org/US-GLE/,"Tier1,",Tier1: 2004,Tier1: 2014,41.3665,-106.2399,3197,ENF,0.8,1200
,,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
US-Goo,Goodwin Creek,http://sites.fluxdata.org/US-Goo/,Tier2,Tier2: 2002,Tier2: 2006,34.2547,-89.8735,87,GRA,15.89,1426
US-Ha1,Harvard Forest EMS Tower (HFR1),http://sites.fluxdata.org/US-Ha1/,"Tier1,",Tier1: 1991,Tier1: 2012,42.5378,-72.1715,340,DBF,6.62,1071
,,,Tier2,Tier2: 1991,Tier2: 2012,,,,,,
US-IB2,Fermi National Accelerator Laboratory- Batavia (Prairie site),http://sites.fluxdata.org/US-IB2/,Tier2,Tier2: 2004,Tier2: 2011,41.8406,-88.241,226.5,GRA,9.04,930
US-Ivo,Ivotuk,http://sites.fluxdata.org/US-Ivo/,Tier2,Tier2: 2004,Tier2: 2007,68.4865,-155.7503,568,WET,-8.28,304
US-KS1,Kennedy Space Center (slash pine),http://sites.fluxdata.org/US-KS1/,Tier2,Tier2: 2002,Tier2: 2002,28.4583,-80.6709,1,ENF,21.9,1266
US-KS2,Kennedy Space Center (scrub oak),http://sites.fluxdata.org/US-KS2/,"Tier1,",Tier1: 2003,Tier1: 2006,28.6086,-80.6715,3,CSH,21.66,1294
,,,Tier2,Tier2: 2003,Tier2: 2006,,,,,,
US-Lin,Lindcove Orange Orchard,http://sites.fluxdata.org/US-Lin/,Tier2,Tier2: 2009,Tier2: 2010,36.3566,-119.8423,131,CRO,,
US-Los,Lost Creek,http://sites.fluxdata.org/US-Los/,"Tier1,",Tier1: 2000,Tier1: 2014,46.0827,-89.9792,480,WET,4.08,828
,,,Tier2,Tier2: 2000,Tier2: 2014,,,,,,
US-LWW,Little Washita Watershed,http://sites.fluxdata.org/US-LWW/,Tier2,Tier2: 1997,Tier2: 1998,34.9604,-97.9789,365,GRA,16.09,805
US-Me1,Metolius - Eyerly burn,http://sites.fluxdata.org/US-Me1/,"Tier1,",Tier1: 2004,Tier1: 2005,44.5794,-121.5,896,ENF,7.88,705
,,,Tier2,Tier2: 2004,Tier2: 2005,,,,,,
US-Me2,Metolius mature ponderosa pine,http://sites.fluxdata.org/US-Me2/,"Tier1,",Tier1: 2002,Tier1: 2014,44.4523,-121.5574,1253,ENF,6.28,523
,,,Tier2,Tier2: 2002,Tier2: 2014,,,,,,
US-Me3,Metolius-second young aged pine,http://sites.fluxdata.org/US-Me3/,Tier2,Tier2: 2004,Tier2: 2009,44.3154,-121.6078,1005,ENF,7.07,719
US-Me4,Metolius-old aged ponderosa pine,http://sites.fluxdata.org/US-Me4/,Tier2,Tier2: 1996,Tier2: 2000,44.4992,-121.6224,922,ENF,7.61,1039
US-Me5,Metolius-first young aged pine,http://sites.fluxdata.org/US-Me5/,Tier2,Tier2: 2000,Tier2: 2002,44.4372,-121.5668,1188,ENF,6.47,591
US-Me6,Metolius Young Pine Burn,http://sites.fluxdata.org/US-Me6/,"Tier1,",Tier1: 2010,Tier1: 2014,44.3233,-121.6078,998,ENF,7.59,494
,,,Tier2,Tier2: 2010,Tier2: 2014,,,,,,
US-MMS,Morgan Monroe State Forest,http://sites.fluxdata.org/US-MMS/,"Tier1,",Tier1: 1999,Tier1: 2014,39.3232,-86.4131,275,DBF,10.85,1032
,,,Tier2,Tier2: 1999,Tier2: 2014,,,,,,
US-Myb,Mayberry Wetland,http://sites.fluxdata.org/US-Myb/,"Tier1,",Tier1: 2010,Tier1: 2014,38.0498,-121.7651,-1,WET,15.9,338
,,,Tier2,Tier2: 2010,Tier2: 2014,,,,,,
US-Ne1,Mead - irrigated continuous maize site,http://sites.fluxdata.org/US-Ne1/,"Tier1,",Tier1: 2001,Tier1: 2013,41.1651,-96.4766,361,CRO,10.07,790
,,,Tier2,Tier2: 2001,Tier2: 2013,,,,,,
US-Ne2,Mead - irrigated maize-soybean rotation site,http://sites.fluxdata.org/US-Ne2/,"Tier1,",Tier1: 2001,Tier1: 2013,41.1649,-96.4701,362,CRO,10.08,789
,,,Tier2,Tier2: 2001,Tier2: 2013,,,,,,
US-Ne3,Mead - rainfed maize-soybean rotation site,http://sites.fluxdata.org/US-Ne3/,"Tier1,",Tier1: 2001,Tier1: 2013,41.1797,-96.4397,363,CRO,10.11,784
,,,Tier2,Tier2: 2001,Tier2: 2013,,,,,,
US-NR1,Niwot Ridge Forest (LTER NWT1),http://sites.fluxdata.org/US-NR1/,"Tier1,",Tier1: 1998,Tier1: 2014,40.0329,-105.5464,3050,ENF,1.5,800
,,,Tier2,Tier2: 1998,Tier2: 2014,,,,,,
US-Oho,Oak Openings,http://sites.fluxdata.org/US-Oho/,Tier2,Tier2: 2004,Tier2: 2013,41.5545,-83.8438,230,DBF,10.1,849
US-ORv,Olentangy River Wetland Research Park,http://sites.fluxdata.org/US-ORv/,"Tier1,",Tier1: 2011,Tier1: 2011,40.0201,-83.0183,221,WET,11.63,1499
,,,Tier2,Tier2: 2011,Tier2: 2011,,,,,,
US-PFa,Park Falls/WLEF,http://sites.fluxdata.org/US-PFa/,"Tier1,",Tier1: 1995,Tier1: 2014,45.9459,-90.2723,470,MF,4.33,823
,,,Tier2,Tier2: 1995,Tier2: 2014,,,,,,
US-Prr,Poker Flat Research Range Black Spruce Forest,http://sites.fluxdata.org/US-Prr/,"Tier1,",Tier1: 2010,Tier1: 2013,65.1237,-147.4876,210,ENF,-2,275
,,,Tier2,Tier2: 2010,Tier2: 2014,,,,,,
US-SRC,Santa Rita Creosote,http://sites.fluxdata.org/US-SRC/,Tier2,Tier2: 2008,Tier2: 2014,31.9083,-110.8395,991,OSH,,
US-SRG,Santa Rita Grassland,http://sites.fluxdata.org/US-SRG/,"Tier1,",Tier1: 2008,Tier1: 2014,31.7894,-110.8277,1291,GRA,17,420
,,,Tier2,Tier2: 2008,Tier2: 2014,,,,,,
US-SRM,Santa Rita Mesquite,http://sites.fluxdata.org/US-SRM/,"Tier1,",Tier1: 2004,Tier1: 2014,31.8214,-110.8661,1120,WSA,17.92,380
,,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
US-Sta,Saratoga,http://sites.fluxdata.org/US-Sta/,Tier2,Tier2: 2005,Tier2: 2009,41.3966,-106.8024,2069,OSH,5.1,
US-Syv,Sylvania Wilderness Area,http://sites.fluxdata.org/US-Syv/,"Tier1,",Tier1: 2001,Tier1: 2014,46.242,-89.3477,540,MF,3.81,826
,,,Tier2,Tier2: 2001,Tier2: 2014,,,,,,
US-Ton,Tonzi Ranch,http://sites.fluxdata.org/US-Ton/,"Tier1,",Tier1: 2001,Tier1: 2014,38.4316,-120.966,177,WSA,15.8,559
,,,Tier2,Tier2: 2001,Tier2: 2014,,,,,,
US-Tw1,Twitchell Wetland West Pond,http://sites.fluxdata.org/US-Tw1/,"Tier1,",Tier1: 2012,Tier1: 2014,38.1074,-121.6469,-9,WET,15.5,421
,,,Tier2,Tier2: 2012,Tier2: 2014,,,,,,
US-Tw2,Twitchell Corn,http://sites.fluxdata.org/US-Tw2/,"Tier1,",Tier1: 2012,Tier1: 2013,38.1047,-121.6433,-5,CRO,15.5,421
,,,Tier2,Tier2: 2012,Tier2: 2013,,,,,,
US-Tw3,Twitchell Alfalfa,http://sites.fluxdata.org/US-Tw3/,"Tier1,",Tier1: 2013,Tier1: 2014,38.1159,-121.6467,-9,CRO,15.6,421
,,,Tier2,Tier2: 2013,Tier2: 2014,,,,,,
US-Tw4,Twitchell East End Wetland,http://sites.fluxdata.org/US-Tw4/,"Tier1,",Tier1: 2013,Tier1: 2014,38.103,-121.6414,-5,WET,15.6,421
,,,Tier2,Tier2: 2013,Tier2: 2014,,,,,,
US-Twt,Twitchell Island,http://sites.fluxdata.org/US-Twt/,"Tier1,",Tier1: 2009,Tier1: 2014,38.1087,-121.653,,CRO,15.6,421
,,,Tier2,Tier2: 2009,Tier2: 2014,,,,,,
US-UMB,Univ. of Mich. Biological Station,http://sites.fluxdata.org/US-UMB/,"Tier1,",Tier1: 2000,Tier1: 2014,45.5598,-84.7138,234,DBF,5.83,803
,,,Tier2,Tier2: 2000,Tier2: 2014,,,,,,
US-UMd,UMBS Disturbance,http://sites.fluxdata.org/US-UMd/,"Tier1,",Tier1: 2007,Tier1: 2014,45.5625,-84.6975,239,DBF,5.83,803
,,,Tier2,Tier2: 2007,Tier2: 2014,,,,,,
US-Var,Vaira Ranch- Ione,http://sites.fluxdata.org/US-Var/,"Tier1,",Tier1: 2000,Tier1: 2014,38.4133,-120.9507,129,GRA,15.8,559
,,,Tier2,Tier2: 2000,Tier2: 2014,,,,,,
US-WCr,Willow Creek,http://sites.fluxdata.org/US-WCr/,"Tier1,",Tier1: 1999,Tier1: 2014,45.8059,-90.0799,520,DBF,4.02,787
,,,Tier2,Tier2: 1999,Tier2: 2014,,,,,,
US-Whs,Walnut Gulch Lucky Hills Shrub,http://sites.fluxdata.org/US-Whs/,"Tier1,",Tier1: 2007,Tier1: 2014,31.7438,-110.0522,1370,OSH,17.6,320
,,,Tier2,Tier2: 2007,Tier2: 2014,,,,,,
US-Wi0,Young red pine (YRP),http://sites.fluxdata.org/US-Wi0/,"Tier1,",Tier1: 2002,Tier1: 2002,46.6188,-91.0814,349,ENF,,
,,,Tier2,Tier2: 2002,Tier2: 2002,,,,,,
US-Wi1,Intermediate hardwood (IHW),http://sites.fluxdata.org/US-Wi1/,Tier2,Tier2: 2003,Tier2: 2003,46.7305,-91.2329,352,DBF,,
US-Wi2,Intermediate red pine (IRP),http://sites.fluxdata.org/US-Wi2/,Tier2,Tier2: 2003,Tier2: 2003,46.6869,-91.1528,395,ENF,,
US-Wi3,Mature hardwood (MHW),http://sites.fluxdata.org/US-Wi3/,"Tier1,",Tier1: 2002,Tier1: 2004,46.6347,-91.0987,411,DBF,,
,,,Tier2,Tier2: 2002,Tier2: 2004,,,,,,
US-Wi4,Mature red pine (MRP),http://sites.fluxdata.org/US-Wi4/,"Tier1,",Tier1: 2002,Tier1: 2005,46.7393,-91.1663,352,ENF,,
,,,Tier2,Tier2: 2002,Tier2: 2005,,,,,,
US-Wi5,Mixed young jack pine (MYJP),http://sites.fluxdata.org/US-Wi5/,Tier2,Tier2: 2004,Tier2: 2004,46.6531,-91.0858,353,ENF,,
US-Wi6,Pine barrens #1 (PB1),http://sites.fluxdata.org/US-Wi6/,"Tier1,",Tier1: 2002,Tier1: 2003,46.6249,-91.2982,371,OSH,,
,,,Tier2,Tier2: 2002,Tier2: 2003,,,,,,
US-Wi7,Red pine clearcut (RPCC),http://sites.fluxdata.org/US-Wi7/,Tier2,Tier2: 2005,Tier2: 2005,46.6491,-91.0693,335,OSH,,
US-Wi8,Young hardwood clearcut (YHW),http://sites.fluxdata.org/US-Wi8/,Tier2,Tier2: 2002,Tier2: 2002,46.7223,-91.2524,348,DBF,,
US-Wi9,Young Jack pine (YJP),http://sites.fluxdata.org/US-Wi9/,"Tier1,",Tier1: 2004,Tier1: 2005,46.6188,-91.0814,350,ENF,,
,,,Tier2,Tier2: 2004,Tier2: 2005,,,,,,
US-Wkg,Walnut Gulch Kendall Grasslands,http://sites.fluxdata.org/US-Wkg/,"Tier1,",Tier1: 2004,Tier1: 2014,31.7365,-109.9419,1531,GRA,15.64,407
,,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
US-WPT,Winous Point North Marsh,http://sites.fluxdata.org/US-WPT/,Tier2,Tier2: 2011,Tier2: 2013,41.4646,-82.9962,175,WET,10.1,849
ZA-Kru,Skukuza,http://sites.fluxdata.org/ZA-Kru/,"Tier1,",Tier1: 2000,Tier1: 2010,-25.0197,31.4969,359,SAV,21.9,547
,,,Tier2,Tier2: 2000,Tier2: 2013,,,,,,
ZM-Mon,Mongu,http://sites.fluxdata.org/ZM-Mon/,"Tier1,",Tier1: 2000,Tier1: 2009,-15.4378,23.2528,1053,DBF,25,945
,,,Tier2,Tier2: 2000,Tier2: 2009,,,,,,
