Name,Country,Latitude,Longitude,Altitude,Type,WMO,Transmission,Air temperature,Soil temperature,Wind,Rain,Relative humidity,Barometric pressure,Solar irradiance,Leaf wetness,Fog precipitation,Soil moisture,Sunshine duration,Dew point,Wet bulb,First data,Status/Last data,Status2
Acucareira,Angola,-8.59100,13.60400,14,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,11/1/2017,active,Operational
Alto Dondo,Angola,-9.68333,14.46667,185,INOVA,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,4/14/2014,undetermined,Unknown
Barragem das Neves,Angola,-14.95200,13.36300,2074,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,10/19/2014,active,Operational
Benfica,Angola,-9.00000,13.09100,70,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,10/10/2009,active,Operational
Bentiaba,Angola,-14.25700,12.38700,11,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,10/27/2014,active,Operational
Bibala,Angola,-14.80800,13.34100,1061,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,10/21/2014,active,Operational
Cacuso,Angola,-9.42808,15.74621,1064,INOVA,,GPRS,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,4/15/2014,09.03.2016 (1),Not operational
Caiundo,Angola,-16.41440,17.82000,1204,Adcon/OTT,,GPRS,No,No,No,No,No,No,No,No,No,No,No,No,No,-,(1),Not operational
Campus ISPT,Angola,-14.95800,13.44500,2047,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,10/17/2014,active,Operational
Caope,Angola,-8.75500,13.42300,21,Adcon/OTT,,GPRS,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,1/1/2016,active,Operational
Capangombe,Angola,-15.09600,13.13800,535,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,10/22/2014,active,Operational
Caraculo,Angola,-15.01900,12.65800,470,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,10/24/2014,active,Operational
Chianga (Huambo),Angola,-12.74349,15.82923,1695,INOVA,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,4/13/2014,undetermined,Unknown
Cuito Cuanavale,Angola,-15.18150,19.17833,1214,INOVA,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,8/15/2014,undetermined,Unknown
Cusseque,Angola,-13.71000,17.10000,1529,Adcon/OTT,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,3/27/2015,inactive,Not operational
Damba,Angola,-6.68333,14.13333,602,INOVA,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,4/28/2014,inactive,Not operational
Espinheira,Angola,-16.77577,12.34777,448,Adcon/OTT,,SAT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,10/20/2015,active,Operational
Fazenda Pongo-Andongo 2,Angola,-9.64400,15.49100,1072,Adcon/OTT,,GPRS,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,6/20/2011,inactive,Not operational
Flamingos Bay,Angola,-15.56784,12.02124,13,Adcon/OTT,,MAN,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,10/13/2017,active,Operational
Gambos,Angola,-15.65000,14.06667,1318,INOVA,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,4/11/2014,undetermined,Unknown
Ganda,Angola,-12.95000,14.63333,1412,INOVA,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,4/8/2014,undetermined,Unknown
Gove,Angola,-13.45500,15.85900,1741,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,6/18/2012,active,Operational
Great Welwitschia,Angola,-15.56800,12.14000,98,Adcon/OTT,,GPRS,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,10/26/2015,active,Operational
Humpata,Angola,-15.06900,13.35100,1880,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,10/17/2014,active,Operational
IMA - Huambo,Angola,-12.81500,15.64100,1736,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,1/1/2014,inactive,Not operational
Iona Costal,Angola,-16.80562,11.88445,187,Adcon/OTT,,MAN,No,No,No,No,No,No,No,No,No,No,No,No,No,1/15/2017,active,Operational
ISPKS - Sumbe,Angola,-11.28500,13.89600,275,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,2/2/2016,active,Operational
Kessua,Angola,-9.46400,16.28500,1115,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,11/24/2014,active,Operational
Kibala (Catofe),Angola,-10.73597,14.98446,1272,INOVA,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,4/14/2014,undetermined,Unknown
Matala,Angola,-14.88700,15.08300,1204,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,10/8/2013,active,Operational
Muconda,Angola,-10.58769,21.31772,1096,INOVA,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,7/5/2014,undetermined,Unknown
Mukongo,Angola,-14.74900,12.50500,390,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,10/26/2014,active,Operational
Munhino,Angola,-14.95655,12.97733,402,Adcon/OTT,,MAN,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,4/23/2016,active,Operational
Namacunde,Angola,-17.31200,15.85300,1112,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,4/1/2015,inactive,Not operational
Namibe,Angola,-15.15900,12.17800,11,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,10/30/2014,active,Operational
Onjiva,Angola,-16.97600,15.61500,1119,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,4/1/2015,active,Operational
PN Bicuar,Angola,-15.10000,14.83330,1243,Adcon/OTT,,SAT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,3/21/2015,active,Operational
Projecto Terra do Futuro (PTF),Angola,-10.46700,15.71100,1602,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,4/3/2015,inactive,Not operational
Quibaxi,Angola,-8.51300,14.59000,872,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,5/11/2012,active,Operational
Tchivinguiro,Angola,-15.16900,13.29900,1662,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,4/2/2015,active,Operational
Tundavala,Angola,-14.84500,13.40700,2060,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,10/18/2014,17.04.2016 (2),Not operational
Tundavala Observatory,Angola,-14.79990,13.40750,2300,Adcon/OTT,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,3/18/2015,active,Operational
UJES-Huambo,Angola,-12.86300,15.73100,1664,Adcon/OTT,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,10/2/2013,inactive,Not operational
Wako-Kungo,Angola,-11.41100,15.12900,1331,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,6/2/2012,active,Operational
Xangongo,Angola,-16.71900,14.98200,1123,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,5/20/2015,active,Operational
Baines Drift,Botswana,-22.48983,28.69675,709,CTS,68088,SAT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,3/17/2015,active,Operational
Ghanzi,Botswana,-21.71508,21.65317,1137,CTS,68024,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,2/13/2014,active,Operational
Goodhope,Botswana,-25.46025,25.42678,1275,CTS,68325,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,2/1/2014,active,Operational
Lephepe,Botswana,-23.36564,25.84719,1024,CTS,68151,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,2/6/2014,active,Operational
Lotlhakane East,Botswana,-25.08000,25.43000,1216,Cimel,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,8/25/2015,active,Operational
Mababe,Botswana,-19.01800,23.96669,931,CTS,68028,SAT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,3/30/2015,active,Operational
Mahalapye,Botswana,-23.11253,26.85922,1015,CTS,68148,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,2/7/2014,active,Operational
Malopowabojang,Botswana,-25.20000,25.57000,1224,Cimel,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,8/27/2015,active,Operational
Mogobane,Botswana,-24.98000,25.70000,1076,Cimel,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,8/25/2015,active,Operational
Ngwatle,Botswana,-23.71239,21.07972,1176,CTS,68218,SAT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,8/25/2015,active,Operational
Pandamatenga,Botswana,-18.54463,25.63583,1074,CTS,68030,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,2/21/2014,active,Operational
Ramotswa,Botswana,-24.88000,25.88000,1040,Cimel,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,8/25/2015,active,Operational
Ranaka,Botswana,-24.90000,25.45000,1224,Cimel,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,8/25/2015,active,Operational
Shakawe,Botswana,-18.36856,21.83931,1002,CTS,68026,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,2/12/2014,active,Operational
Sowa,Botswana,-20.54742,26.07842,911,CTS,68038,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,2/22/2014,active,Operational
Tsabong,Botswana,-26.03136,22.40086,960,CTS,68328,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,2/14/2014,active,Operational
Tshane,Botswana,-24.01928,21.86856,1125,CTS,68226,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,2/14/2014,active,Operational
Tubu (Okavango Delta),Botswana,-19.35786,22.28400,967,CTS,68027,SAT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,3/26/2015,active,Operational
Werda,Botswana,-25.26800,23.25919,1030,CTS,68320,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,2/7/2014,active,Operational
Xade,Botswana,-22.34072,23.02983,1004,CTS,68084,SAT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,8/22/2015,active,Operational
Alex Muranda Livestock Development Centre,Namibia,-18.36430,19.25620,1166,CTS,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,10/7/2010,active,Operational
Aussinanis,Namibia,-23.44354,15.04594,405,Gobabeb,,GPRS,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,8/7/2014,active,Operational
Bagani,Namibia,-18.09464,21.55997,1008,CTS,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,2/19/2013,active,Operational
Claratal,Namibia,-22.78760,16.81440,1950,CTS,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,11/24/2010,active,Operational
Coastal Met,Namibia,-23.05631,14.62595,94,Gobabeb,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,9/7/2014,active,Operational
Conception Water,Namibia,-24.01533,14.55038,9,Gobabeb,,SAT,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,1/1/2017,active,Operational
Dieprivier (Namib Desert Lodge),Namibia,-24.12960,15.89470,1056,CTS,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,6/7/2011,active,Operational
Erichsfelde,Namibia,-21.59860,16.90120,1499,CTS,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,11/26/2010,inactive,Not operational
Ganab,Namibia,-23.12180,15.53830,1002,CTS,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,6/9/2011,active,Operational
Garnet Koppie,Namibia,-23.11539,15.30504,733,Gobabeb,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,8/14/2014,active,Operational
Gellap Ost,Namibia,-26.40110,18.00720,1080,CTS,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,2/24/2011,active,Operational
